model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,horizon,target_column,stock_days
ols_core_raw_fit504_val126,ols,core,504,rank_ic,0.04189245360254111,0.003077711551667648,13.611559400308915,3.418705866355424e-42,0.03586024980646964,0.04792465739861258,2266,2266,0,5,raw,3,f_cumret3,3031789
ols_core_raw_fit504_val126,ols,core,504,ew_spread_bp,58.10703309047867,9.111016082785762,6.377667711537176,1.798051044820279e-10,40.24976970565338,75.96429647530397,2266,2266,0,5,raw,3,f_cumret3,3031789
ols_core_raw_fit504_val126,ols,core,504,cap_spread_bp,-3.5558020572021185,4.450266095189591,-0.7990088639970715,0.42428527225120605,-12.278163325393418,5.166559210989181,2266,2266,0,5,raw,3,f_cumret3,3031789
ridge_core_raw_fit504_val126,ridge,core,504,rank_ic,0.0417390352076927,0.00307010334917631,13.595319264705218,4.268937793344248e-42,0.03572174321449133,0.047756327200894066,2266,2266,0,5,raw,3,f_cumret3,3031789
ridge_core_raw_fit504_val126,ridge,core,504,ew_spread_bp,59.847323173666716,8.934994926648587,6.698081382807763,2.1117365963925566e-11,42.33505491538739,77.35959143194604,2266,2266,0,5,raw,3,f_cumret3,3031789
ridge_core_raw_fit504_val126,ridge,core,504,cap_spread_bp,-3.579748008201258,4.325935258344404,-0.8275084564190351,0.407948931018734,-12.058425314008264,4.898929297605748,2266,2266,0,5,raw,3,f_cumret3,3031789
lasso_core_raw_fit504_val126,lasso,core,504,rank_ic,0.04243703266761997,0.0031020296455231,13.680408479933709,1.3294376711111337e-42,0.036357166283419146,0.0485168990518208,2266,2266,0,5,raw,3,f_cumret3,3031789
lasso_core_raw_fit504_val126,lasso,core,504,ew_spread_bp,61.633106658992254,8.962476541461404,6.876794195652364,6.121444476349538e-12,44.0669754254428,79.1992378925417,2266,2266,0,5,raw,3,f_cumret3,3031789
lasso_core_raw_fit504_val126,lasso,core,504,cap_spread_bp,-4.75510770788505,4.361563355382886,-1.0902301125619247,0.2756117918398411,-13.303614800725178,3.7933993849550793,2266,2266,0,5,raw,3,f_cumret3,3031789
enet_core_raw_fit504_val126,enet,core,504,rank_ic,0.04243911210856257,0.003101997415950703,13.681220974052872,1.3146647585151518e-42,0.03635930889316288,0.04851891532396226,2266,2266,0,5,raw,3,f_cumret3,3031789
enet_core_raw_fit504_val126,enet,core,504,ew_spread_bp,61.607377223900876,8.962238055718394,6.87410631595442,6.237967426291829e-12,44.04171341381854,79.17304103398321,2266,2266,0,5,raw,3,f_cumret3,3031789
enet_core_raw_fit504_val126,enet,core,504,cap_spread_bp,-4.756568770539401,4.361723021597452,-1.0905251770886952,0.2754818689640697,-13.305388803409627,3.7922512623308258,2266,2266,0,5,raw,3,f_cumret3,3031789
ols_all_raw_fit504_val126,ols,all,504,rank_ic,0.04022316665081328,0.0026846984788144908,14.982377711397605,9.572997818242092e-51,0.03496125432298741,0.045485078978639154,2266,2266,0,5,raw,3,f_cumret3,3031789
ols_all_raw_fit504_val126,ols,all,504,ew_spread_bp,58.91364761725255,8.79830208231909,6.696024649533728,2.1416561365317995e-11,41.66929241080337,76.15800282370174,2266,2266,0,5,raw,3,f_cumret3,3031789
ols_all_raw_fit504_val126,ols,all,504,cap_spread_bp,-1.199374071331275,4.463657044250932,-0.2686976305395227,0.7881623753085634,-9.947981117401612,7.549232974739062,2266,2266,0,5,raw,3,f_cumret3,3031789
